,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
55,FASHION+MOD-INIT,mlp,Clusterable Init,FASHION,8.797139861046203,0.18203985554078117,50,10.056781977389345,0.039044191028593675,-32.26195967079084,0.0196078431372549,0.9385499954223633,0.15983920619090397,0.890999972820282,0.3563250836372375
56,FASHION+MOD-INIT,mlp,Clusterable Init,FASHION,8.669662682073069,0.19206844833844156,50,10.020640121976282,0.03746184687311234,-36.06275591481465,0.0196078431372549,0.9396499991416931,0.1585354975859324,0.8927000164985657,0.37535080361366274
57,FASHION+MOD-INIT,mlp,Clusterable Init,FASHION,8.738166044362973,0.18664293737821847,50,10.01431189538891,0.03670660763205746,-34.76610706763935,0.0196078431372549,0.9371500015258789,0.16121476825873057,0.8899999856948853,0.3592229722976685
58,FASHION+MOD-INIT,mlp,Clusterable Init,FASHION,8.738593441246456,0.1866093542788931,50,10.012265609990504,0.03385120507558394,-37.625607888999994,0.0196078431372549,0.9380333423614502,0.16099904554684957,0.8934000134468079,0.36674293718338014
59,FASHION+MOD-INIT,mlp,Clusterable Init,FASHION,8.787767213779398,0.1827672893510285,50,10.006147802768984,0.04149988480610919,-29.35864990184812,0.0196078431372549,0.9370166659355164,0.16333429207404454,0.8931000232696533,0.3568626616716385
60,HALVES-SAME-FASHION,mlp,Halves Same,FASHION,9.845040428306705,0.10944391683234238,50,9.897018364340996,0.033885808185962096,-1.5339146036901623,0.0392156862745098,0.9720166921615601,0.07564331403573354,0.9409999847412109,0.20108206596374512
61,HALVES-SAME-FASHION,mlp,Halves Same,FASHION,9.785943412466596,0.11312433018531733,50,9.963369635326682,0.032247851946140625,-5.5019547707059155,0.0196078431372549,0.9731000065803528,0.07386069088975589,0.9442999958992004,0.19212056365013122
62,HALVES-SAME-FASHION,mlp,Halves Same,FASHION,9.772601974719134,0.11396136008828305,50,9.951026708586415,0.029343089945954196,-6.080638889630039,0.0196078431372549,0.9724833369255066,0.07414453998208045,0.9444000124931335,0.19016950352191925
63,HALVES-SAME-FASHION,mlp,Halves Same,FASHION,9.775456924828042,0.11378205091989035,50,9.94889648538366,0.03184881188414446,-5.445715249489819,0.0196078431372549,0.9716833233833313,0.07647579797108968,0.928600013256073,0.25227987202405927
64,HALVES-SAME-FASHION,mlp,Halves Same,FASHION,9.731421405624612,0.11655946751335751,50,9.832500450149356,0.031924181998478005,-3.1662219106996177,0.0196078431372549,0.9724000096321106,0.07433436606327692,0.9412999749183655,0.19513741688728334
65,HALVES-FASHION,mlp,Halves Diff,FASHION,9.918537070459289,0.10492792005284744,50,10.247781572318162,0.018628561257677312,-17.674177694382248,0.0196078431372549,0.8461666703224182,0.40647609842618304,0.7128000259399414,0.9298483734130859
66,HALVES-FASHION,mlp,Halves Diff,FASHION,10.00236408743548,0.09985818827940193,50,10.243549238428173,0.018956775284661713,-12.722899721654723,0.0196078431372549,0.8508999943733215,0.3952529245694478,0.7174000144004822,0.9647488124847412
67,HALVES-FASHION,mlp,Halves Diff,FASHION,9.962462085656083,0.1022607612869893,50,10.23282769125953,0.02435707893868122,-11.100083318040314,0.0196078431372549,0.849049985408783,0.40142701365152994,0.7164999842643738,0.9918349853515624
68,HALVES-FASHION,mlp,Halves Diff,FASHION,9.750195144288107,0.11537229883187941,50,10.253945052985376,0.02715500536662196,-18.550904405876576,0.0196078431372549,0.8484833240509033,0.40107743026415504,0.7132999897003174,0.9578056303977966
69,HALVES-FASHION,mlp,Halves Diff,FASHION,9.770160453117587,0.11411478642456115,50,10.251713789779592,0.01404551644049776,-34.28519974342353,0.0196078431372549,0.8507000207901001,0.39823506417274473,0.7185999751091003,0.9698528951644897
70,POLY,mlp,Control,Polynomials,9.797285612388531,0.11241452350976511,50,10.188727863128676,0.01460076313782599,-26.809711728426088,0.0196078431372549,,0.03795300823450089,,0.15588034197092057
71,POLY,mlp,Control,Polynomials,9.782972127806445,0.11331054832978757,50,10.19837861738647,0.01450175029925929,-28.645265640882204,0.0196078431372549,,0.08816306645224492,,0.01501914157345891
72,POLY,mlp,Control,Polynomials,9.85893624935751,0.10858492724212605,50,10.182549866345777,0.017312107895985432,-18.692906660044013,0.0196078431372549,,0.15695664334011575,,0.011203815568983555
73,POLY,mlp,Control,Polynomials,9.82733836257706,0.11054171319146458,50,10.185215503590632,0.013299186068055625,-26.909702532336638,0.0196078431372549,,0.08838537137359381,,0.04484247212409973
74,POLY,mlp,Control,Polynomials,9.78472907144597,0.11320042243268066,50,10.175778666831306,0.014908650142851261,-26.229711720269034,0.0196078431372549,,0.017035252646853526,,0.004975221135094762
75,POLY+L1REG,mlp,L1 Reg,Polynomials,9.205260938055513,0.15180118634066864,50,9.28221931537708,0.02382000821270767,-3.230829168249861,0.0196078431372549,,0.3624439929326375,,0.3411294357776642
76,POLY+L1REG,mlp,L1 Reg,Polynomials,9.285386643556285,0.1461766461996258,50,9.280959617814572,0.03772094359370193,0.1173625397444102,0.5098039215686274,,0.320894650999705,,0.3176814138889313
77,POLY+L1REG,mlp,L1 Reg,Polynomials,9.141554699632714,0.15634349923444268,50,9.273757745517841,0.03210418638203532,-4.1179379010553205,0.0196078431372549,,0.3564687694867452,,0.38554183835983274
78,POLY+L1REG,mlp,L1 Reg,Polynomials,9.262561270035285,0.14776899445839167,50,9.279422215355675,0.03230578586583041,-0.5219172005415904,0.3137254901960784,,0.3628554703712463,,0.2764592849254608
79,POLY+L1REG,mlp,L1 Reg,Polynomials,9.149905784578815,0.1557444569661424,50,9.270984162300739,0.041251600989591665,-2.9351194818468613,0.0196078431372549,,0.3463303233623505,,0.2734252863407135
80,POLY+L2REG,mlp,L2 Reg,Polynomials,9.45010524973647,0.13491356354653497,50,9.815727256968021,0.012301607510727055,-29.721482083762353,0.0196078431372549,,0.2643094207127889,,0.33782034618854523
81,POLY+L2REG,mlp,L2 Reg,Polynomials,8.497299158937981,0.2061067155307615,50,9.872906043078565,0.01335204007401471,-103.02597030230189,0.0196078431372549,,0.1914080161134402,,0.07119669398069382
82,POLY+L2REG,mlp,L2 Reg,Polynomials,8.379358378370437,0.21604527805944498,50,9.889864533433348,0.010409207032980069,-145.11250955784536,0.0196078431372549,,0.16526206255753836,,0.14053861334323883
83,POLY+L2REG,mlp,L2 Reg,Polynomials,7.749835532640538,0.2742099783575238,50,9.889624516332225,0.013567160368014352,-157.71826422398658,0.0196078431372549,,0.11374429879188537,,0.07352146480083466
84,POLY+L2REG,mlp,L2 Reg,Polynomials,7.422947664891072,0.3083042304580289,50,9.878229071615298,0.011354829236003994,-216.23234975115238,0.0196078431372549,,0.14150588056643804,,0.07445668038129806
85,MNIST,mlp,"Control, Pruning",MNIST,8.829721091916694,0.1795231624578486,50,9.178529365004508,0.03302510164984113,-10.561913685721892,0.0196078431372549,1.0,6.585895458204807e-05,0.9842000007629395,0.09831101430401322
86,MNIST,mlp,"Control, Pruning",MNIST,8.847825037497344,0.1781327585674245,50,9.185987448299432,0.034739975719115454,-9.734100378660202,0.0196078431372549,1.0,5.6764754561299925e-05,0.9836000204086304,0.09368070858604924
87,MNIST,mlp,"Control, Pruning",MNIST,8.892929174841543,0.17469333017677044,50,9.173805374537933,0.030593014360624254,-9.181056707439106,0.0196078431372549,1.0,5.056964503334408e-05,0.9836999773979187,0.10103255085444543
88,MNIST,mlp,"Control, Pruning",MNIST,8.95721674553998,0.1698509336605646,50,9.18986636106751,0.029464074932763464,-7.896043437930168,0.0196078431372549,1.0,5.8803566908318316e-05,0.9850000143051147,0.09443660289961445
89,MNIST,mlp,"Control, Pruning",MNIST,8.874647338628632,0.17608320320333526,50,9.187677155870297,0.02851513877900258,-10.977671182584865,0.0196078431372549,1.0,5.621529356030806e-05,0.9836000204086304,0.09747144882725552
90,MNIST+DROPOUT,mlp,"Dropout, Pruning",MNIST,8.362156426931994,0.21751826845474959,50,9.232380665363408,0.02978838226716735,-29.213544751323127,0.0196078431372549,0.9665166735649109,0.1215261860648791,0.9787999987602234,0.09005095871090889
91,MNIST+DROPOUT,mlp,"Dropout, Pruning",MNIST,8.418975938443232,0.2126757510497733,50,9.250229378668461,0.03724000407777447,-22.32151850706527,0.0196078431372549,0.9665833115577698,0.12402971386512121,0.9799000024795532,0.08043205698356032
92,MNIST+DROPOUT,mlp,"Dropout, Pruning",MNIST,8.346585947411118,0.21885679220268922,50,9.251320745585918,0.031575009960035864,-28.65350792667724,0.0196078431372549,0.9661666750907898,0.1285463074962298,0.9790999889373779,0.07878945146799088
93,MNIST+DROPOUT,mlp,"Dropout, Pruning",MNIST,8.333257585592726,0.22000654466427766,50,9.245687043579792,0.04882094531802664,-18.689303372627673,0.0196078431372549,0.9663833379745483,0.12496257093548775,0.9801999926567078,0.08278264011465944
94,MNIST+DROPOUT,mlp,"Dropout, Pruning",MNIST,8.291367766044312,0.22364417660640212,50,9.253196499398994,0.04599387921372219,-20.912102866672804,0.0196078431372549,0.966866672039032,0.12318825668891271,0.9793000221252441,0.08404297243654728
95,MNIST+L1REG,mlp,"L1 Reg, Pruning",MNIST,9.788396030997434,0.11297070337157189,50,3.0195784658672875,0.3052217061003004,22.176724098730425,1.0,0.9964166879653931,0.07635491327842077,0.9815000295639038,0.1345706506729126
