,model,network_type,Network,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
38,CNN-VGG-CIFAR10+L1REG,cnn,"L1 Reg, Pruning",4.434213184168652,0.8531149159498317,50,0.6140527230838984,0.07469032546971603,51.146657041060514,1.0,0.9299406409263611,0.5359178547068287,0.8823999762535095,0.7013069904303249
39,CNN-VGG-CIFAR10+L1REG,cnn,"L1 Reg, Pruning",4.086373056072068,0.9682947243606195,50,1.025090402038296,0.027835131115215586,109.97909948268128,1.0,0.9274141788482666,0.5405775543432569,0.8773000240325928,0.7445411055902892
40,CNN-VGG-CIFAR10+L2REG,cnn,"L2 Reg, Pruning",9.405358193399708,0.13793423670036853,50,1.301470308489847,0.2608740793327911,31.064366017644538,1.0,0.9751525521278381,0.21644088303862893,0.9103999733924866,0.48345152147208587
41,CNN-VGG-CIFAR10+L2REG,cnn,"L2 Reg, Pruning",8.433070431983928,0.21148463046673086,50,1.7829568036633177,0.2265265267839737,29.356886907388425,1.0,0.9740535616874695,0.21817459120634164,0.9043999910354614,0.5041930245447762
42,CNN-VGG-CIFAR10+L2REG,cnn,"L2 Reg, Pruning",8.180101801829212,0.23348720411502663,50,2.153113036790558,0.18365110009188074,32.81760230144741,1.0,0.9730710387229919,0.2212472371290921,0.9049000144004822,0.5018042686242091
43,CNN-VGG-CIFAR10+L2REG,cnn,"L2 Reg, Pruning",8.411806931539216,0.21328313272426755,50,1.9303127685073678,0.2194372481972885,29.536891372264016,1.0,0.9738330245018005,0.22060663113236084,0.9107999801635742,0.48959637819966184
44,CNN-VGG-CIFAR10+L2REG,cnn,"L2 Reg, Pruning",9.07358645991612,0.16126002397242448,50,1.479866186282481,0.2252472202791277,33.71282568647665,1.0,0.9734119176864624,0.2220606860592077,0.9115999937057495,0.4732774573413632
45,CNN-VGG-CIFAR10+DROPOUT,cnn,"Dropout, Pruning",6.519695405825223,0.42028839179191024,50,8.003550482295005,0.15635881103924235,-9.49006369776865,0.0196078431372549,0.9048363566398621,0.49896716413721276,0.9071999788284302,0.49609779406197463
46,CNN-VGG-CIFAR10+DROPOUT,cnn,"Dropout, Pruning",6.032413235413631,0.4946268211164071,50,7.901244397102968,0.17823450335120344,-10.48523785547227,0.0196078431372549,0.9043952226638794,0.4947362668169283,0.9020000100135803,0.515186341880243
47,CNN-VGG-CIFAR10+DROPOUT,cnn,"Dropout, Pruning",7.2263899296598115,0.33029009760098227,50,8.006521333409456,0.21371948469871963,-3.65025867832966,0.0196078431372549,0.9061097502708435,0.4949821489743697,0.8996000289916992,0.5161288482478902
